"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
6,242;0,254;0,024;5,042;500;0,005;5;30
6,288;0,35;0,03;5,052;1000;0,005;5;30
6,322;0,426;0,034;5,078;1500;0,005;5;30
6,334;0,45;0,032;5,082;1700;0,005;5;30
6,356;0,484;0,032;5,094;2000;0,005;5;30
6,424;0,57;0,034;5,132;3000;0,005;5;30
6,296;0,348;0,026;5,068;500;0,01;6;30
6,34;0,48;0,036;5,076;1000;0,01;6;30
6,414;0,568;0,036;5,128;1500;0,01;6;30
6,444;0,592;0,036;5,154;1700;0,01;6;30
6,468;0,63;0,038;5,164;2000;0,01;6;30
6,594;0,718;0,036;5,268;3000;0,01;6;30
6,362;0,476;0,032;5,082;500;0,02;6;30
