"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
2,994;0,888;0,08;2,4;300;8;70
2,99;0,89;0,082;2,398;500;8;70
2,99;0,89;0,082;2,396;700;8;70
2,988;0,892;0,082;2,396;900;8;70
2,988;0,892;0,082;2,394;1000;8;70
2,99;0,892;0,082;2,396;1300;8;70
2,99;0,892;0,082;2,398;1500;8;70
2,99;0,892;0,082;2,4;1700;8;70
2,992;0,892;0,078;2,402;2000;8;70
2,996;0,882;0,076;2,408;100;9;70
2,994;0,888;0,078;2,406;300;9;70
2,992;0,892;0,082;2,4;500;9;70
2,986;0,89;0,084;2,396;700;9;70
2,982;0,89;0,086;2,396;900;9;70
2,982;0,89;0,086;2,398;1000;9;70
2,978;0,89;0,088;2,394;1300;9;70
2,978;0,892;0,088;2,394;1500;9;70
2,982;0,894;0,084;2,394;1700;9;70
2,982;0,892;0,084;2,396;2000;9;70
2,964;0,758;0,084;2,398;100;1;100
2,964;0,774;0,086;2,4;300;1;100
2,958;0,774;0,09;2,396;500;1;100
2,958;0,776;0,092;2,396;700;1;100
2,96;0,78;0,09;2,396;900;1;100
2,96;0,78;0,09;2,396;1000;1;100
2,964;0,78;0,09;2,4;1300;1;100
2,964;0,78;0,09;2,4;1500;1;100
2,964;0,782;0,09;2,402;1700;1;100
2,964;0,782;0,09;2,398;2000;1;100
2,998;0,91;0,068;2,418;100;2;100
2,972;0,918;0,084;2,39;300;2;100
2,968;0,922;0,086;2,386;500;2;100
2,962;0,922;0,088;2,38;700;2;100
2,96;0,922;0,09;2,38;900;2;100
2,96;0,922;0,09;2,38;1000;2;100
2,962;0,922;0,09;2,382;1300;2;100
2,96;0,922;0,09;2,382;1500;2;100
2,96;0,922;0,092;2,378;1700;2;100
2,958;0,922;0,088;2,378;2000;2;100
2,974;0,918;0,082;2,402;100;3;100
2,974;0,928;0,084;2,392;300;3;100
2,976;0,93;0,084;2,39;500;3;100
2,972;0,93;0,084;2,386;700;3;100
2,97;0,934;0,086;2,384;900;3;100
2,974;0,932;0,086;2,386;1000;3;100
2,97;0,932;0,088;2,382;1300;3;100
2,966;0,934;0,088;2,382;1500;3;100
2,966;0,934;0,088;2,382;1700;3;100
2,966;0,934;0,088;2,38;2000;3;100
2,988;0,922;0,08;2,398;100;4;100
2,984;0,932;0,082;2,4;300;4;100
2,982;0,934;0,084;2,398;500;4;100
2,976;0,934;0,084;2,396;700;4;100
2,978;0,934;0,084;2,396;900;4;100
2,976;0,934;0,084;2,396;1000;4;100
2,976;0,934;0,086;2,394;1300;4;100
2,974;0,934;0,086;2,394;1500;4;100
2,974;0,934;0,084;2,394;1700;4;100
2,976;0,934;0,084;2,396;2000;4;100
2,988;0,928;0,086;2,398;100;5;100
2,984;0,936;0,088;2,398;300;5;100
2,986;0,936;0,086;2,394;500;5;100
2,986;0,938;0,084;2,394;700;5;100
2,986;0,938;0,086;2,394;900;5;100
2,986;0,938;0,084;2,396;1000;5;100
2,986;0,938;0,084;2,392;1300;5;100
2,986;0,936;0,082;2,394;1500;5;100
2,99;0,938;0,08;2,4;1700;5;100
2,986;0,936;0,084;2,396;2000;5;100
3,002;0,926;0,076;2,406;100;6;100
2,992;0,932;0,08;2,4;300;6;100
2,984;0,936;0,086;2,398;500;6;100
2,988;0,936;0,084;2,4;700;6;100
2,988;0,938;0,084;2,4;900;6;100
2,99;0,938;0,084;2,4;1000;6;100
2,988;0,938;0,08;2,4;1300;6;100
2,988;0,938;0,082;2,4;1500;6;100
2,986;0,938;0,082;2,4;1700;6;100
2,986;0,938;0,082;2,4;2000;6;100
2,984;0,926;0,086;2,398;100;7;100
2,992;0,932;0,084;2,406;300;7;100
2,996;0,938;0,078;2,41;500;7;100
2,992;0,938;0,08;2,406;700;7;100
2,99;0,938;0,082;2,402;900;7;100
2,99;0,938;0,084;2,4;1000;7;100
2,986;0,938;0,086;2,398;1300;7;100
2,984;0,938;0,084;2,398;1500;7;100
2,984;0,938;0,084;2,4;1700;7;100
