"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,002;2000;5;10;5,93;0,328353691708306;4,53799780023531
0,002;3000;5;10;5,88;0,33710903577076;4,49015633404507
0,005;1000;5;10;5,9;0,33413059423446;4,50957169574797
0,005;1500;5;10;5,86;0,33815854512346;4,48073612651144
0,005;1700;5;10;5,85;0,341806333788795;4,4584814263228
0,005;2000;5;10;5,83;0,34434262336382;4,4464442149089
0,005;3000;5;10;5,8;0,351918094509906;4,43228546548217
0,01;1000;6;10;5,8;0,352662108135165;4,41324058562292
0,01;1500;6;10;5,76;0,359782918748708;4,39447768553453
0,01;1700;6;10;5,79;0,353526221471915;4,4048466136184
0,01;2000;6;10;5,8;0,351650897442026;4,40929788984548
0,01;3000;6;10;5,76;0,360781195124856;4,37994179366579
0,02;1000;6;10;5,76;0,360893890133072;4,39201459176421
0,02;1500;6;10;5,76;0,360242833247936;4,38063747499766
0,02;1700;6;10;5,79;0,354581594806515;4,41438437654635
0,02;2000;6;10;5,79;0,355555259028727;4,39764045372332
0,02;3000;6;10;5,84;0,34806268327363;4,44399002759083
0,05;1000;6;10;5,86;0,341373869503019;4,43466990717407
0,05;1500;6;10;5,92;0,335888555887676;4,44751769774932
0,05;1700;6;10;6,03;0,314629511908768;4,58500515618173
0,05;2000;6;10;5,96;0,328453386544038;4,47904761365323
0,05;3000;6;10;6,05;0,31772701510608;4,53891434638672
0,001;1000;6;10;6,29;0,304265403046714;4,84476209018808
0,001;1500;6;10;6,13;0,313591206071485;4,71281593492643
0,001;1700;6;10;6,09;0,317384667696585;4,67873530005379
0,001;2000;6;10;6,04;0,320869891088257;4,63615951238603
0,001;3000;6;10;5,94;0,330052339223497;4,54956837434653
0,002;1000;6;10;6,03;0,321927556580217;4,63063043307497
0,002;1500;6;10;5,95;0,328439567410176;4,55513143872551
0,002;1700;6;10;5,92;0,332368443455793;4,52867655335776
0,002;2000;6;10;5,9;0,336242188289303;4,50590705788046
0,002;3000;6;10;5,85;0,34151429101459;4,46213775033849
0,005;1000;6;10;5,87;0,340210796324643;4,47372707535335
0,005;1500;6;10;5,83;0,345268356944806;4,44966518655415
0,005;1700;6;10;5,81;0,349678169271332;4,43274675806412
0,005;2000;6;10;5,81;0,350680387776116;4,42185450661105
0,005;3000;6;10;5,78;0,355922059223038;4,40104235986391
0,01;1000;8;10;5,78;0,356325558428615;4,39942822900724
0,01;1500;8;10;5,74;0,363941787068163;4,3605606538807
0,01;1700;8;10;5,76;0,36100700139744;4,3719226817294
0,01;2000;8;10;5,76;0,360355324059836;4,37081630297345
0,01;3000;8;10;5,77;0,359087547323035;4,36254969687366
0,02;1000;8;10;5,79;0,354432915043836;4,39793290024615
0,02;1500;8;10;5,81;0,35248902668118;4,40668784229106
0,02;1700;8;10;5,83;0,349186643543001;4,42823897794629
0,02;2000;8;10;5,74;0,367549802598147;4,35859166917503
0,02;3000;8;10;5,84;0,349903372145347;4,39207424515384
0,05;1000;8;10;5,84;0,34979757760248;4,44600466732168
0,05;1500;8;10;5,94;0,336877781150778;4,50394830695145
0,05;1700;8;10;6,03;0,319080963864843;4,53159700655792
0,05;2000;8;10;6,03;0,317725196415365;4,51958764344802
0,05;3000;8;10;6,08;0,311478353507419;4,58032916592693
0,001;1000;8;10;6,23;0,319742548583655;4,79620894447394
0,001;1500;8;10;6,07;0,325891894603663;4,66116707762765
0,001;1700;8;10;6,03;0,328314114326901;4,62449358663685
0,001;2000;8;10;5,98;0,33225390545013;4,58269670240712
0,001;3000;8;10;5,9;0,338974365484856;4,50377355917128
0,002;1000;8;10;5,98;0,332009466199976;4,58755349800101
0,002;1500;8;10;5,9;0,337246393663502;4,50824008563154
0,002;1700;8;10;5,88;0,341275691358991;4,48617750427541
0,002;2000;8;10;5,86;0,343626062962829;4,46817221607443
0,002;3000;8;10;5,81;0,351432702698888;4,41742988292182
0,005;1000;8;10;5,82;0,348772335163828;4,43532631193389
0,005;1500;8;10;5,78;0,357118537551916;4,39506951709564
0,005;1700;8;10;5,79;0,353382287426756;4,40857313413597
0,005;2000;8;10;5,75;0,361871396083499;4,38037226357609
0,005;3000;8;10;5,76;0,361540940536242;4,37262601888844
0,01;1000;10;10;5,76;0,361152032276272;4,36410759072755
0,01;1500;10;10;5,75;0,362054693535812;4,3509615648223
0,01;1700;10;10;5,75;0,36325065250918;4,3407767204741
0,01;2000;10;10;5,76;0,360142492965496;4,35589130279808
0,01;3000;10;10;5,81;0,353034372991588;4,39412993620932
0,02;1000;10;10;5,78;0,357866543024678;4,37239270469493
0,02;1500;10;10;5,77;0,361394794182224;4,36105570541485
0,02;1700;10;10;5,85;0,344962328845994;4,40498159049295
0,02;2000;10;10;5,86;0,346191065250396;4,41670040680872
0,02;3000;10;10;5,87;0,34667322625089;4,43795827749427
0,05;1000;10;10;5,94;0,332540072255962;4,4923018101452
0,05;1500;10;10;6,05;0,317197885651298;4,58763147172284
0,05;1700;10;10;6,03;0,318394681309092;4,53830512107945
0,05;2000;10;10;5,95;0,338154764629096;4,5179937196733
0,05;3000;10;10;6,01;0,326887009037062;4,53258992035216
0,001;1000;10;10;6,19;0,328043488857075;4,76222995455043
0,001;1500;10;10;6,03;0,334726684194131;4,62696708158126
0,001;1700;10;10;5,99;0,336511245489324;4,59123446340085
0,001;2000;10;10;5,94;0,339492669515409;4,54600751014121
0,001;3000;10;10;5,87;0,344779841460303;4,4727923224856
0,002;1000;10;10;5,95;0,338830905645738;4,54974536080835
0,002;1500;10;10;5,86;0,346074646112926;4,47047000166042
