"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,05;1500;10;5;3,67;0,235058548390001;2,84691049428824
0,05;1700;10;5;3,69;0,231429895806283;2,85691566335005
0,05;2000;10;5;3,65;0,236385938490868;2,83633957717557
0,05;3000;10;5;3,73;0,22022751150391;2,90381365795842
0,001;1000;10;5;3,59;0,275231330996703;2,77475926153214
0,001;1500;10;5;3,52;0,280190636457815;2,72269242913457
0,001;1700;10;5;3,5;0,282017836911212;2,71173087261633
0,001;2000;10;5;3,49;0,282952533721099;2,69987421248954
0,001;3000;10;5;3,45;0,288451401838147;2,67487593900487
0,002;1000;10;5;3,49;0,282536471484478;2,70007545713763
0,002;1500;10;5;3,46;0,28633190399879;2,67868355943971
0,002;1700;10;5;3,45;0,289302965127567;2,6726499556781
0,002;2000;10;5;3,44;0,294501736605854;2,66233268515452
0,002;3000;10;5;3,45;0,290309446352261;2,66806217974338
0,005;1000;10;5;3,45;0,288870782949587;2,66710809451717
0,005;1500;10;5;3,46;0,286133949670889;2,6747596630301
0,005;1700;10;5;3,46;0,285073279343261;2,66926317746744
0,005;2000;10;5;3,47;0,283901430685302;2,67894161452172
0,005;3000;10;5;3,47;0,282257348839222;2,68955742645806
0,01;1000;3;10;3,44;0,291354560798887;2,67241090934667
0,01;1500;3;10;3,44;0,291658439601907;2,67578369970333
0,01;1700;3;10;3,46;0,285796770999002;2,68386707642683
0,01;2000;3;10;3,44;0,292624519224654;2,67214374858802
0,01;3000;3;10;3,46;0,28666707406467;2,68251691296838
0,02;1000;3;10;3,45;0,287776225657224;2,68598101058219
0,02;1500;3;10;3,46;0,28657610534757;2,67999793109371
0,02;1700;3;10;3,46;0,289970271251302;2,67213197776141
0,02;2000;3;10;3,47;0,283337401369141;2,70912042253002
0,02;3000;3;10;3,52;0,270241641745662;2,72903729456209
0,05;1000;3;10;3,52;0,26827133526962;2,72814422394696
0,05;1500;3;10;3,55;0,267763950282165;2,76739892392827
0,05;1700;3;10;3,55;0,261219353695988;2,74225609413629
0,05;2000;3;10;3,57;0,257723098151907;2,7950160242625
0,05;3000;3;10;3,61;0,243611811325493;2,79073737991754
0,001;1000;3;10;3,67;0,241835797966335;2,84731543988705
0,001;1500;3;10;3,61;0,246867454402346;2,80176484960555
0,001;1700;3;10;3,6;0,250764445278547;2,78864160727616
0,001;2000;3;10;3,58;0,253081396698443;2,77342331487641
0,001;3000;3;10;3,54;0,260841817804875;2,74632252626042
0,002;1000;3;10;3,58;0,250246042181144;2,77781761294808
0,002;1500;3;10;3,53;0,262326680775635;2,74071801295722
0,002;1700;3;10;3,53;0,262527060594721;2,7384240668111
0,002;2000;3;10;3,51;0,265752602567093;2,72890783424292
0,002;3000;3;10;3,48;0,275425279445856;2,70480555264643
0,005;1000;3;10;3,49;0,276260705720914;2,70376023169294
0,005;1500;3;10;3,48;0,277988106950187;2,69858955231573
0,005;1700;3;10;3,47;0,281359022816115;2,68785917126093
0,005;2000;3;10;3,45;0,286466637832894;2,68245867925619
0,005;3000;3;10;3,44;0,291735116533925;2,67316283846281
0,01;1000;5;10;3,44;0,294273380983636;2,65797130843173
0,01;1500;5;10;3,44;0,292743280995267;2,66770708424546
0,01;1700;5;10;3,46;0,285531433427731;2,67984614224167
0,01;2000;5;10;3,48;0,280356858448674;2,68073208770213
0,01;3000;5;10;3,49;0,278499452818073;2,71639255448564
0,02;1000;5;10;3,47;0,280663582567991;2,68239667579939
0,02;1500;5;10;3,51;0,269792858149793;2,72092484484665
0,02;1700;5;10;3,5;0,275913292055469;2,71343098666753
0,02;2000;5;10;3,49;0,280960342791116;2,70352508339793
0,02;3000;5;10;3,54;0,265371716272514;2,75452507168969
0,05;1000;5;10;3,55;0,266285688352605;2,79205672322115
0,05;1500;5;10;3,58;0,265386369822239;2,78736079269828
0,05;1700;5;10;3,57;0,263871347264153;2,7698195374266
0,05;2000;5;10;3,62;0,250430238463487;2,82058709777165
0,05;3000;5;10;3,65;0,23956387593645;2,86060484484719
0,001;1000;5;10;3,63;0,261257118629627;2,81310676606364
0,001;1500;5;10;3,57;0,263115573818774;2,76429566478635
0,001;1700;5;10;3,56;0,263396380846866;2,75100330070284
0,001;2000;5;10;3,54;0,265149599574618;2,73776795229152
0,001;3000;5;10;3,49;0,275341064942817;2,70661860036869
0,002;1000;5;10;3,53;0,267991113622653;2,73521800109298
0,002;1500;5;10;3,49;0,276138670872664;2,70808071668768
0,002;1700;5;10;3,49;0,275948330216902;2,70103186027196
0,002;2000;5;10;3,48;0,280384681281003;2,69703846897372
0,002;3000;5;10;3,46;0,284224509735125;2,6804826202833
0,005;1000;5;10;3,46;0,284537331986449;2,67980782658474
0,005;1500;5;10;3,45;0,287335575485847;2,67029666602981
0,005;1700;5;10;3,44;0,292927227267629;2,66922948815385
0,005;2000;5;10;3,45;0,289168287295175;2,67467008956957
0,005;3000;5;10;3,45;0,288747604592792;2,67711489794332
0,01;1000;6;10;3,46;0,285307120739817;2,677435840212
0,01;1500;6;10;3,46;0,286295173192434;2,67679290035643
0,01;1700;6;10;3,47;0,283126836416787;2,68766420248078
0,01;2000;6;10;3,46;0,287777940684569;2,68379137563896
0,01;3000;6;10;3,5;0,277284143252103;2,71611133506748
0,02;1000;6;10;3,49;0,278460380652305;2,71163474676412
0,02;1500;6;10;3,48;0,282284375987879;2,70412262262554
0,02;1700;6;10;3,53;0,268621675307475;2,75708833807352
0,02;2000;6;10;3,58;0,256260950923013;2,76581141332132
0,02;3000;6;10;3,56;0,259897431844897;2,7685041793272
0,05;1000;6;10;3,55;0,268779826471646;2,74224501076013
0,05;1500;6;10;3,63;0,248334656732423;2,81002333540803
0,05;1700;6;10;3,65;0,239037255038825;2,804476941517
0,05;2000;6;10;3,66;0,242788588658349;2,81730182237904
0,05;3000;6;10;3,61;0,25267104999715;2,80236171729255
0,001;1000;6;10;3,62;0,263797024980209;2,80442589143697
0,001;1500;6;10;3,56;0,26628231039823;2,7514184528449
0,001;1700;6;10;3,54;0,268313446668764;2,7393113562029
0,001;2000;6;10;3,52;0,271987252019707;2,72401386675813
0,001;3000;6;10;3,49;0,277397173643709;2,69704664674566
0,002;1000;6;10;3,52;0,269611636649381;2,72961516893867
0,002;1500;6;10;3,49;0,274726907476758;2,7064973264656
0,002;1700;6;10;3,48;0,279022317617468;2,69324230663853
0,002;2000;6;10;3,46;0,283311649799794;2,68368368843684
0,002;3000;6;10;3,46;0,283695963790893;2,6820882387798
0,005;1000;6;10;3,44;0,292083632426152;2,66533924346194
0,005;1500;6;10;3,44;0,291082852526069;2,66775557682663
0,005;1700;6;10;3,45;0,288884071280658;2,67189597210939
0,005;2000;6;10;3,46;0,284607614855695;2,68432205951046
0,005;3000;6;10;3,45;0,288553564779496;2,67700276237055
0,01;1000;8;10;3,45;0,290419836961135;2,66757925924333
0,01;1500;8;10;3,47;0,283566073531337;2,68327668381431
0,01;1700;8;10;3,47;0,282839386064086;2,69011190762468
