"Richesse_tot";"gps_x";"bio4";"bio7";"CaCO3";"pH";"gps_y";"elevation";"bio18";"CEC";"P";"N";"bio15";"hurs_mean";"bio13";"bio10";"bio16";"gdd10";"bio5";"PET";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
1;5,46167991835845;6,763;27,3;81,7511596679688;6,8;45,7665691408473;543,002014160156;256,8;15,6764507293701;45,932056427002;1,86932766437531;15,5;595,7;129,3;21,15;355,8;1581,4;26,35;775,9;0;0;0;1;0;0
1;4,85635812246111;6,607;29,2;208,94010925293;7,5;43,7805647115049;24,9680004119873;93,1;15,8317270278931;38,1562690734863;2,10772633552551;42,3;565,8;104,6;23,85;284,6;2123,6;30,85;1017,6;0;0;0;0;0;1
3;2,76345007186567;5,235;21,5;56,3328514099121;7,6;49,8570792504886;101,101196289062;194,7;12,0348405838013;56,6891937255859;1,43733966350555;13,4;637,9;73,4;17,35;208,2;956;22,35;713,6;0;0;0;1;0;0
3;2,66789138408537;5,116;21;33,2688369750977;7,4;50,1216698281193;72,0429992675781;216,9;12,7779817581177;58,234619140625;1,55877709388733;12,8;651,3;85,9;16,85;244,6;881,4;21,7500000000001;689,6;0;0;0;1;0;0
3;3,30122809763336;5,641;22,5;90,0161666870117;6,9;48,9857998381082;140,553268432617;187,7;21,5621128082275;51,0566825866699;1,52554655075073;12,9;635,6;75,3;18,05;206,4;1045,6;23,05;707,5;0;0;0;0;0;1
4;3,48200451851039;5,686;22,6;210,878723144531;6,8;49,0489239798092;121,572998046875;194,4;21,3136234283447;39,5967102050781;1,87473583221436;12,9;641,7;77,6;18,35;209,6;1094,3;23,2500000000001;657;0;0;0;0;0;1
5;3,95041400730829;5,627;22,6;72,7366180419922;6,7;49,1682236080766;151,270553588867;205;19,4090957641602;31,645450592041;1,99768161773682;10,8;641,5;72,8;17,85;206,2;1007,3;22,85;631,4;0;0;0;0;0;1
1;3,6391568086311;5,66;22,5;159,771545410156;6,8;48,9847830639008;140,553268432617;186,3;17,9759941101074;43,7776184082031;1,62521243095398;12,1;637,7;73,6;17,95;199,1;1017,5;22,85;720,5;0;0;0;0;0;1
2;3,93137135381102;5,631;22,5;153,591064453125;6,7;48,9917305001361;153,36164855957;186,4;24,0064258575439;45,7709007263184;1,82389354705811;10,6;632,1;70;17,55;192,9;956,3;22,55;728,9;0;0;0;0;0;1
1;4,09109308016625;5,695;22,9;81,3045654296875;7;49,1602331322394;174,006484985352;184,8;19,7129764556885;43,7997627258301;1,49784922599792;10,1;633,7;66,5;18,05;187,2;1039,2;23,15;697,8;0;0;0;0;0;1
2;4,02279838905161;5,758;23;160,581817626953;7,1;48,9675101006235;160,639739990234;184,7;22,499439239502;56,137077331543;1,39874160289764;10,3;636;70,2;18,2500000000001;194,2;1072,5;23,35;687,2;0;0;0;0;0;1
5;4,05537530998048;5,659;22,8;102,271057128906;6,9;49,1652729561774;168,322494506836;189,1;23,244930267334;47,5771903991699;1,51373207569122;10,3;635,9;67,8;17,85;191,4;1011,3;22,95;658,9;0;0;0;0;0;1
