"AB_tot";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
125;5,25041250040889;47,5773831690935;9;364;171;450;37,6594147872925;10,2;7,37;"OS_210";15;6;535;65,2;38,1394147872925;3,70346218347549
143,75;4,95551949965968;47,6132164994737;77;206;91;299;44,7412722015381;9,33;8,01;"OS_210";404;327;297;77,4;113,501272201538;4,79406774044037
162,5;4,81421850001126;47,5142464983503;99;325;176;250;48,952004776001;9,17;8,03;"OS_210";249;150;501;84,7;123,592004776001;5,34114062786102
125;4,80415843924772;47,4595995260689;64;274;195;379;40,3181590270996;10,6;8,01;"OS_210";152;88;469;69,8;50,3981590270996;3,79799455404282
150;4,97688643173553;47,249200723689;82;267;194;407;14,3591539669037;11,2;8,32;"OS_218";132;50;461;24,8;19,8791539669037;1,28734037280083
125;4,98385616720205;47,2453686706861;33;292;213;435;15,5488910579681;10;7,91;"OS_218";60;27;505;26,9;18,3088910579681;1,54860585927963
137,5;4,95781972781542;47,1885708053149;60;268;143;416;24,5885985183716;10,8;8,15;"OS_218";173;113;411;42,5;46,3085985183716;2,27839395403862
112,5;4,96513616651567;47,2032236657616;66;227;162;423;22,585808391571;11,7;8,19;"OS_218";188;122;389;39,1;37,465808391571;1,93403035402297
143,75;4,96620766642679;47,3172148355624;98;192;114;449;21,1010958099365;10,6;8,29;"OS_218";245;147;306;36,5;66,4610958099365;1,98996782302856
110;4,98486483307266;47,3121186661992;120;230;130;424;18,5292866897583;9,97;8,27;"OS_218";216;96;360;32,1;77,2092866897583;1,85863837599754
145;4,98523166657051;47,3125476682743;142;238;142;397;18,9275909423828;9,88;8,22;"OS_218";223;81;380;32,7;81,3275909423828;1,91616281867027
206,25;5,19876316691503;47,2806783368212;39;336;237;383;12,6604124355316;8,93;7,65;"OS_214";44;5;573;21,9;12,7804124355316;1,41806796193122
243,75;5,2055135888146;47,2747943438235;38;363;259;334;13,0846965312957;9,6;6,9;"OS_214";44;6;622;22,6;13,0846965312957;1,36301487684249
206,25;5,20994399086584;47,2675494114419;35;359;231;359;15,5097499656677;9,16;7,84;"OS_214";51;16;590;26,8;17,4297499656677;1,69285833835601
206,25;5,21245680969797;47,2631348498879;32;329;224;406;18,0941660785675;9,21;7,77;"OS_214";41;9;553;31,3;19,0541660785675;1,96551442146301
231,25;5,21432750005122;47,2672938372911;45;295;107;348;32,0278216934204;9,2;8,19;"OS_214";250;205;402;55,4;68,8678216934204;3,48226934671401
187,5;5,2210903334142;47,2700881665338;42;327;197;373;26,9629363059997;9,22;8,12;"OS_214";103;61;524;46,6;36,5629363059997;2,92315870523452
237,5;5,2275116667968;47,2676940027081;36;363;255;330;15,1502241039276;9,6;7,59;"OS_214";52;16;618;26,2;15,5102241039276;1,57870233058929
300;5,22947283324332;47,2644384971904;39;383;272;297;12,4185749340057;9,35;7,17;"OS_214";48;9;655;21,5;12,5385749340057;1,32819071412086
187,5;5,2293663007282;47,2786384424485;45;396;301;243;10,7963705062866;9,47;6,1;"OS_214";60;15;697;18,7;10,7963705062866;1,13982684910297
287,5;5,22705056803436;47,2810571371935;43;373;278;291;12,5696464824676;9,66;6,98;"OS_214";58;15;651;21,7;12,6896464824676;1,30136162042617
218,75;5,21926401500061;47,2629371146043;71;318;111;303;30,4688372039794;9,45;8,21;"OS_210";268;197;429;52,7;77,0288372039794;3,22290569543838
250;4,60249716648321;47,2806738315153;45;292;122;526;60,9362024307251;12;7,29;"OS_111";60;15;414;105;61,5362024307251;5,05735039710999
306,25;4,59720733359462;47,2801771637791;33;398;122;420;31,3771220588684;9,76;7,81;"OS_111";60;27;520;54,3;34,7371220588684;3,21392744779587
